timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603183059735,109,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-1,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,67,0,39
1603183059851,89,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-1,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,25,0,0
1603183060072,112,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-2,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,56,0,35
1603183060192,66,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-2,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,22,0,0
1603183060405,100,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-3,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,54,0,34
1603183060506,60,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-3,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,20,0,0
1603183060740,97,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-4,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,53,0,35
1603183060839,65,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-4,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,19,0,0
1603183061072,110,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-5,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,64,0,36
1603183061184,56,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-5,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,19,0,0
1603183061403,95,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-6,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,50,0,30
1603183061502,56,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-6,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,17,0,0
1603183061735,107,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-7,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,55,0,32
1603183061844,56,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-7,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,16,0,0
1603183062071,111,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-8,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,51,0,33
1603183062184,65,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-8,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,22,0,0
1603183062401,110,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-9,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,53,0,34
1603183062512,77,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-9,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,20,0,0
1603183062733,209,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-10,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,56,0,32
1603183062946,62,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-10,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,18,0,0
1603183063066,103,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-11,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,49,0,32
1603183063171,64,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-11,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,25,0,0
1603183063400,107,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-12,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,59,0,32
1603183063509,63,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-12,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,22,0,0
1603183063730,93,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-13,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,46,0,30
1603183063825,66,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-13,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,31,0,0
1603183064065,123,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-14,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,75,0,44
1603183064190,70,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-14,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,28,0,0
1603183064397,98,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-15,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,48,0,31
1603183064497,58,HTTP Request - GET rapidash,200,OK,Thread Group - Rapidash 1-15,text,true,,173669,135,1,1,https://pokeapi.co/api/v2/pokemon/rapidash,19,0,0
